Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.7559998576993773,0.013315611178012266,0.398,-0.00090174634510083,-0.745,-0.001,0.416,0.040000000000000036
-0.7559997504462623,0.013417956402141214,0.398,-0.0011941614327915305,-0.749,-0.001,0.414,0.0
-0.7559988826684976,0.013884381593699535,0.398,-0.002526807242267181,-0.749,-0.001,0.414,0.0
-0.754999066592539,0.01380832193549463,0.398,-0.0023094932973167152,-0.746,0.0,0.415,0.1200000000000001
-0.7539993743240083,0.012661795136532667,0.398,-0.001890844373956259,-0.745,0.0,0.415,0.040000000000000036
-0.7539999312225887,0.012219417827839255,0.398,-0.0006269081206046527,-0.744,0.0,0.415,0.040000000000000036
-0.7539891958031839,0.009249941629596548,0.4,0.007857390480169783,-0.746,0.0,0.413,-0.08000000000000007
-0.7549496698038253,0.007064631081922816,0.402,0.01695900982162459,-0.746,0.001,0.411,0.0
-0.7546782284901554,-4.54997614365675e-06,0.408,0.04288328513689192,-0.746,0.003,0.41,0.0
-0.7534124711970752,-0.002271284417941378,0.413,0.057950385320124226,-0.745,0.004,0.408,0.0
-0.7520639078315282,-0.003581013454950828,0.419,0.07315383935116858,-0.745,0.005,0.408,0.0
-0.7516472662650835,-0.002742214069321545,0.426,0.08794823183877676,-0.744,0.006,0.407,0.040000000000000036
-0.7485458324748873,0.0006249552346153167,0.444,0.11849149374867753,-0.741,0.007,0.407,0.1200000000000001
-0.7465404828561499,0.007911368507296311,0.458,0.1407171709420428,-0.742,0.007,0.407,-0.040000000000000036
-0.7424793619271297,0.010928523450658555,0.468,0.16089754041822724,-0.742,0.008,0.407,0.0
-0.7391739543798987,0.014405274381412939,0.477,0.18271415606815639,-0.741,0.008,0.408,0.040000000000000036
-0.7309434355572373,0.02289517239492922,0.498,0.22798363354175932,-0.738,0.009,0.411,0.1200000000000001
-0.7260064799565746,0.028967784427532048,0.508,0.25130014151762103,-0.737,0.009,0.415,0.040000000000000036
-0.7208204420290174,0.03285805430107443,0.516,0.2752984187325431,-0.739,0.009,0.416,-0.08000000000000007
-0.7124545008715624,0.037848718637362125,0.526,0.29916034209965303,-0.739,0.009,0.419,0.0
-0.6982500323060079,0.05028009338576461,0.542,0.34606606574700066,-0.735,0.009,0.429,0.0
-0.6933064266938544,0.054413603028254987,0.543,0.3700643429619227,-0.733,0.009,0.435,0.08000000000000007
-0.6769347232498659,0.062078286160884844,0.555,0.4175154820005186,-0.732,0.012,0.446,0.16000000000000014
-0.6694370499750845,0.06744200655576485,0.557,0.4415137592154405,-0.731,0.013,0.453,0.040000000000000036
-0.6694370499750845,0.06744200655576485,0.557,0.4415137592154405,-0.731,0.015,0.461,0.0
-0.6528522337647142,0.07734794960722075,0.558,0.48978302134090873,-0.727,0.018,0.474,0.1200000000000001
-0.6365968581231101,0.08471941296806607,0.552,0.5377795757707527,-0.722,0.021,0.482,0.20000000000000018
-0.6365968581231101,0.08471941296806607,0.552,0.5377795757707527,-0.72,0.023,0.489,0.08000000000000007
-0.6074840587773138,0.09493562208467507,0.539,0.6119560689805118,-0.716,0.027,0.502,0.0
-0.598690171212953,0.09727266082189079,0.533,0.6354089308041856,-0.713,0.03,0.508,0.1200000000000001
-0.5885074472986942,0.10042220154834314,0.526,0.6599526234103559,-0.707,0.034,0.514,0.2400000000000002
-0.5660230962772695,0.10138950496617816,0.519,0.7117670855789375,-0.699,0.04,0.524,0.16000000000000014
-0.553433623438353,0.10096597220628653,0.514,0.7401286859238454,-0.697,0.043,0.526,0.08000000000000007
-0.5417689301185279,0.10086957033935096,0.51,0.767944870877505,-0.693,0.046,0.529,0.16000000000000014
-0.5286365500373688,0.09869427016983018,0.507,0.7968518866136611,-0.684,0.053,0.533,0.1599999999999957
-0.5171594067485261,0.09759872612846848,0.505,0.8263043177410653,-0.684,0.053,0.533,0.1599999999999957
-0.4923326455553524,0.09268870774538834,0.502,0.8824821030396328,-0.668,0.061,0.533,0.2400000000000002
-0.4671878755385148,0.08918104734492444,0.501,0.9408415499031934,-0.655,0.069,0.533,0.20000000000000018
-0.4549274212654233,0.085339756961199,0.501,0.9697485656393494,-0.651,0.072,0.531,0.16000000000000014
-0.44398281574243637,0.08105012379220933,0.502,0.9970193352017607,-0.641,0.076,0.531,0.40000000000000036
-0.43173381207381006,0.07687992118695697,0.504,1.0248355201554202,-0.637,0.079,0.528,0.16000000000000014
-0.409157188041485,0.06941759084771287,0.507,1.079377059280243,-0.621,0.086,0.525,0.2400000000000002
-0.3996815418274434,0.0660289239393278,0.508,1.1066478288426544,-0.614,0.088,0.524,0.28000000000000025
-0.3879163916092448,0.061792274537172565,0.51,1.1344640137963142,-0.605,0.091,0.522,0.3600000000000003
-0.3647582395183807,0.055342822660496616,0.513,1.1879147221386406,-0.582,0.095,0.521,0.5600000000000005
-0.3524990906287423,0.05076537206384113,0.514,1.2162763224835484,-0.572,0.097,0.52,0.40000000000000036
-0.3418652750365525,0.04769737445814992,0.516,1.2424562612634633,-0.561,0.098,0.52,0.43999999999999595
-0.32942487175990165,0.04463000149318436,0.517,1.2708178616083712,-0.542,0.101,0.519,0.3200000000000003
-0.30741336127866725,0.0385820309484487,0.517,1.3242685699506975,-0.531,0.101,0.52,0.4400000000000004
-0.29549916562237755,0.036462479866296305,0.517,1.3504485087306126,-0.519,0.101,0.52,0.4800000000000004
-0.2855325412591889,0.033577001540263884,0.516,1.3766284475105275,-0.508,0.1,0.521,0.4400000000000004
-0.26246661923824866,0.02951327069981724,0.515,1.4289883250703572,-0.482,0.098,0.527,0.4800000000000004
-0.2404057365369205,0.025503417176725107,0.512,1.4780757102826978,-0.459,0.095,0.529,0.4799999999999982
-0.2300338906095308,0.02382615776354452,0.511,1.50207398749762,-0.447,0.093,0.53,0.4800000000000004
-0.20810834225304928,0.024053306695263066,0.508,1.5533430342749532,-0.423,0.088,0.532,0.4800000000000004
-0.19832749055347285,0.02301020344407434,0.507,1.578432142272372,-0.423,0.088,0.532,0.4800000000000004
-0.1875483210123784,0.023187394383272053,0.505,1.6035212502697902,-0.402,0.082,0.531,0.43999999999999817
-0.16701712737072852,0.02220207412578351,0.504,1.6536994662646272,-0.391,0.083,0.538,0.0
-0.16701712737072852,0.02220207412578351,0.504,1.6536994662646272,-0.391,0.083,0.538,0.0
-0.1461805058675627,0.023145657416282772,0.503,1.7049685130419607,-0.373,0.077,0.536,0.3600000000000003
-0.12209171666094322,0.02607135223425089,0.501,1.7573283906017905,-0.353,0.073,0.536,0.3600000000000003
-0.12209171666094322,0.02607135223425089,0.501,1.7573283906017905,-0.353,0.073,0.536,0.3600000000000003
-0.10018083654723656,0.027939731569557757,0.502,1.8096882681616204,-0.328,0.072,0.536,0.4400000000000004
-0.07849695800386451,0.031740192463332983,0.502,1.8620481457214502,-0.31,0.069,0.536,0.3200000000000003
-0.07275297017350446,0.032199067238120604,0.502,1.876228945893904,-0.3,0.068,0.536,0.40000000000000036
-0.06469022353743228,0.035192994322856275,0.505,1.9034997154563156,-0.287,0.066,0.537,0.5200000000000005
-0.05406987675538277,0.03729863473115769,0.505,1.9296796542362304,-0.279,0.065,0.536,0.31999999999999806
-0.03238819982385979,0.04248740796775985,0.506,1.9842211933610534,-0.259,0.064,0.536,0.3200000000000003
-0.023391921051750475,0.04511573268571567,0.507,2.0093103013584717,-0.249,0.062,0.536,0.40000000000000036
-0.0036849530249383478,0.04996834249937554,0.507,2.0594885173533086,-0.227,0.06,0.536,0.4399999999999993
0.005348246036213422,0.05337550642103511,0.507,2.0856684561332237,-0.214,0.06,0.536,0.5200000000000005
0.015263326218518974,0.05599144475426071,0.507,2.111848394913139,-0.197,0.062,0.538,0.4399999999999993
0.029814224451521404,0.06156210541479806,0.507,2.1576632877779898,-0.189,0.062,0.537,0.3200000000000003
