Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.691099473627252,-0.002389369557595514,0.571,0.007882956826634546,-0.696,0.005,0.592,0.0
-0.6911034051249686,-0.0018236780552391776,0.57,0.006016613534707014,-0.695,0.005,0.592,0.040000000000000036
-0.6921060452600036,-0.0023135169738611773,0.57,0.004333495725776936,-0.695,0.005,0.592,0.0
-0.6921084259365005,-0.0015311556241321587,0.57,0.0017523599972721388,-0.693,0.005,0.592,0.040000000000000036
-0.6931088889652558,-0.001962181377413605,0.57,-0.0001247690970702123,-0.693,0.005,0.592,0.040000000000000036
-0.6941088064502597,-0.004226830992154719,0.571,0.0007483482663122659,-0.694,0.004,0.592,0.0
-0.6941060536492698,-0.005311579645292191,0.573,0.004327104139160747,-0.694,0.004,0.592,0.0
-0.6950028484207941,-0.012017097285509454,0.577,0.026452646475539056,-0.693,0.005,0.591,0.040000000000000036
-0.6948244408541897,-0.017128519388999758,0.583,0.04332643514228111,-0.691,0.005,0.591,0.08000000000000007
-0.6955333945824996,-0.018669364273846578,0.589,0.06163193921104976,-0.692,0.004,0.59,-0.040000000000000036
-0.6951565878405677,-0.022008257424172027,0.595,0.07928976250271114,-0.692,0.004,0.59,0.0
-0.694174474516313,-0.02118970458811787,0.615,0.11303733983619524,-0.692,0.004,0.589,0.0
-0.6925238384384181,-0.020502183866712664,0.625,0.13069516312785665,-0.692,0.003,0.589,0.0
-0.6905622747939146,-0.018232494203700236,0.636,0.15312537109294,-0.692,0.003,0.589,0.0
-0.6848663362865892,-0.014199496564740552,0.6579999999999999,0.20330358708777696,-0.692,0.002,0.589,0.0
-0.6810399078702626,-0.012472676383647206,0.6689999999999999,0.23125612588924865,-0.689,0.003,0.589,0.1200000000000001
-0.6769299308621074,-0.008891306351357306,0.6789999999999999,0.2598904339297806,-0.688,0.002,0.589,0.040000000000000036
-0.6665027081975825,0.002042012916261146,0.698,0.31170489609836227,-0.69,0.002,0.59,-0.08000000000000007
-0.6612434373182527,0.008301983007526645,0.706,0.33515775792203606,-0.69,0.001,0.591,0.0
-0.6579426064467164,0.009926458321383988,0.717,0.3575197889632134,-0.69,0.001,0.591,0.0
-0.6526833236840599,0.01706472781870244,0.724,0.3782455738306461,-0.689,0.001,0.595,0.040000000000000036
-0.6409373614463035,0.032790025423428404,0.733,0.418606312783015,-0.689,0.0,0.597,0.0
-0.6344999788045856,0.03945132580892935,0.735,0.4379685591723271,-0.69,0.0,0.603,-0.040000000000000036
-0.6230326477688037,0.040309168048463684,0.727,0.45678539017039094,-0.69,0.0,0.606,0.0
-0.6080215006992813,0.0537155852622096,0.724,0.49987320607900093,-0.69,0.0,0.61,0.0
-0.6007888319811345,0.05994693056415218,0.721,0.5216898217289301,-0.691,0.0,0.615,-0.040000000000000036
-0.5933883334799952,0.06617942592098836,0.717,0.5437791450744833,-0.691,-0.001,0.624,0.0
-0.5848169469795889,0.07241866762127258,0.712,0.5661411761156606,-0.69,0.0,0.629,0.040000000000000036
-0.5670074643136633,0.08473784792816602,0.702,0.61250148437176,-0.69,0.0,0.635,0.0
-0.558656161805321,0.08770392457321965,0.697,0.6370451769779303,-0.69,0.0,0.641,0.0
-0.549954811657573,0.0935178346712646,0.691,0.662679700366597,-0.688,0.0,0.653,0.040000000000000036
-0.5310842572965867,0.0995172474524014,0.6829999999999999,0.7139487471439304,-0.686,0.001,0.658,0.07999999999999563
-0.5216985606471845,0.10346649671905114,0.6779999999999999,0.7406741013150936,-0.685,0.002,0.664,0.040000000000000036
