Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.29108078459279596,-0.00787228748394352,0.576,-0.013618340550229193,-0.301,-0.257,0.531,6.656646728515625e-06
-0.29206911558658033,-0.007089686612036692,0.575,-0.01620054154317002,-0.302,-0.257,0.531,-8.270263671875e-05
-0.2930511720728882,-0.006085010122688207,0.575,-0.019515644468100658,-0.302,-0.257,0.531,-0.000165771484375
-0.2940487271230871,-0.004961044040838782,0.575,-0.019924706011536827,-0.302,-0.257,0.531,-0.0001356201171875
-0.2950429328525222,-0.004676958948281885,0.575,-0.02086213871524472,-0.302,-0.257,0.532,-6.4453125e-05
-0.2950340294311206,-0.004263754254873335,0.575,-0.02222567719336529,-0.302,-0.257,0.532,-0.0001466064453125
-0.2960150472615054,-0.002458041825383857,0.575,-0.0248845772257004,-0.303,-0.257,0.532,-0.000257080078125
-0.2970012023399764,-0.0019209294761913104,0.575,-0.02665717724725714,-0.304,-0.255,0.533,-0.000496826171875
-0.2969880154437195,-0.0004406485364603051,0.575,-0.028242290728072304,-0.304,-0.253,0.534,-0.00059228515625
-0.29799995946112834,-0.0008744497691182025,0.575,-0.026810575326045707,-0.303,-0.251,0.536,-0.0006328125
-0.29905415694921134,-0.00223996911442361,0.573,-0.019004317538805444,-0.304,-0.248,0.538,-0.000875
-0.2990744475330701,-0.0024306179275153644,0.573,-0.01507562229872055,-0.304,-0.24,0.542,-0.0010966796875
-0.3000937467904111,-0.003970040173512629,0.573,-0.009996441467721428,-0.305,-0.235,0.544,-0.0012802734375
-0.30010507282109167,-0.0044785434213518195,0.572,-0.005019526022581348,-0.305,-0.23,0.547,-0.0013056640625
-0.30010494865046267,-0.007545995989773892,0.571,0.005100486119719757,-0.305,-0.224,0.549,-0.001404296875
-0.30010014341836705,-0.007302837329322366,0.571,0.00759746595777805,-0.305,-0.211,0.555,-0.0013349609375
-0.299070154864631,-0.00984574352690968,0.57,0.015987488655963684,-0.305,-0.204,0.559,-0.0011376953125
-0.29902674175679406,-0.012056470807794126,0.568,0.02328241951390873,-0.305,-0.197,0.562,-0.0011640625
-0.2989841926165117,-0.01369361975937081,0.567,0.02868544073346149,-0.306,-0.19,0.565,-0.0010439453125
-0.29896736074632224,-0.014261658728749516,0.567,0.03056030614087727,-0.306,-0.178,0.569,-0.000796875
-0.29893191711134337,-0.015356331167270691,0.567,0.034173683107896785,-0.306,-0.17,0.571,-0.00077392578125
-0.29785911724828634,-0.01830264604013052,0.567,0.04059935818603997,-0.307,-0.163,0.572,-0.00072119140625
-0.2978355191633602,-0.01887044416708649,0.568,0.042474223593455755,-0.307,-0.148,0.575,-0.0006796875
-0.29582219880041916,-0.016180133295206806,0.567,0.04349687745204618,-0.307,-0.14,0.576,-0.00059228515625
-0.293819496723648,-0.016242069477107813,0.57,0.04370140822376426,-0.307,-0.132,0.577,-0.000464599609375
-0.2938355191633602,-0.014870444167086492,0.572,0.042474223593455755,-0.307,-0.126,0.579,-0.0002030029296875
-0.29285617297807537,-0.013374913699661765,0.574,0.04083797741971107,-0.307,-0.113,0.58,0.000302490234375
-0.2908686698624681,-0.015065190248781345,0.573,0.03981532356112064,-0.307,-0.105,0.581,0.000443115234375
-0.2888772292182222,-0.013848376306165375,0.574,0.03909946586010734,-0.308,-0.099,0.582,0.0007138671875
-0.2879061536233427,-0.01308431762049075,0.575,0.03657691967558429,-0.308,-0.094,0.582,0.0008994140625
-0.28693821464990765,-0.012170452533023717,0.576,0.033560090792742525,-0.308,-0.082,0.583,0.0011181640625
-0.285974221293764,-0.01103444693588414,0.576,0.029810359977910962,-0.308,-0.076,0.583,0.001275390625
-0.28503574173929885,-0.008658770795946855,0.577,0.021970013728717683,-0.308,-0.073,0.583,0.0012919921875
-0.28506290652344807,-0.007279648620861651,0.578,0.017419204057990283,-0.306,-0.066,0.587,0.001453125
-0.28408603607252564,-0.0057221952989688,0.579,0.012280368418573384,-0.306,-0.062,0.589,0.0014609375
-0.28310284768599014,-0.003914085850592193,0.579,0.006314887576795889,-0.305,-0.058,0.591,0.00140625
